id_dataset,bulan,perusahaan,jenis,jumlah,total,potensial
310,agustus,SINAR CONTINENTAL,EXP CORPORATE,155,4581500,tidak
311,agustus,FAMILY ONLINE SHOP,EXP CORPORATE,12,1702997,tidak
312,agustus,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,370,470054000,potensial
313,agustus,PERIJINAN PEMKAB BANDUNG,EXP CORPORATE,263,351000,tidak
314,agustus,COD BUNDA JAYA,EXP CORPORATE,0,0,tidak
315,agustus,WOM FINANCE,SKH,78,490000,tidak
316,agustus,ADIRA DINAMIKA FINANCE,SKH,3,75000,tidak
317,agustus,BPKAD,SKH,0,0,potensial
318,agustus,BAPENDA,SKH,266,1729500,tidak
319,agustus,PD ANANG,LOGISTIK,22,369800,tidak
320,agustus,BPJS KIS PBI,SKH,2359,14154000,tidak
321,september,BPJS KESEHATAN,SKH,1434,9351000,potensial
322,september,BLBI ABIYOSO,PPKH,793,57115000,potensial
323,september,BPKP JABAR,SKH,308,3638000,potensial
324,september,RSUD CIBABAT,EXP CORPORATE,0,0,tidak
325,september,PT ANUGRAH DWIJAYA LOG,LOGISTIK,0,0,tidak
326,september,BPJS KETENAGAKERJAAN,SKH,46,529500,potensial
327,september,KPP PRATAMA SOREANG,SKH,7627,39022500,potensial
328,september,KPP PRATAMA CIMAHI,SKH,24553,173008003,potensial
329,september,ULTRAJAYA MILK INDUSTRY,SKH,609,21156000,potensial
330,september,BALAI DIKLAT KEUANGAN,EXP CORPORATE,43,1158000,tidak
331,september,SINAR CONTINENTAL,EXP CORPORATE,194,6783097,potensial
332,september,FAMILY ONLINE SHOP,EXP CORPORATE,327,10529301,tidak
333,september,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,460,570650000,potensial
334,september,PERIJINAN PEMKAB BANDUNG,SKH,43,452500,tidak
335,september,COD BUNDA JAYA,EXP CORPORATE,0,0,tidak
336,september,WOM FINANCE,SKH,86,484000,tidak
337,september,ADIRA DINAMIKA FINANCE,SKH,3,45000,tidak
338,september,BPKAD,SKH,0,0,tidak
339,september,BAPENDA,SKH,250,16625500,tidak
340,september,PD ANANG,LOGISTIK,4,609700,tidak
341,september,BPJS KIS PBI,SKH,0,0,potensial
342,september,BPJS KESEHATAN,SKH,1434,9351000,potensial
343,september,BLBI ABIYOSO,PPKH,793,57115000,potensial
344,september,BPKP JABAR,SKH,308,3638000,potensial
345,september,RSUD CIBABAT,EXP CORPORATE,0,0,tidak
346,september,PT ANUGRAH DWIJAYA LOG,LOGISTIK,0,0,tidak
347,september,BPJS KETENAGAKERJAAN,SKH,46,529500,potensial
348,september,KPP PRATAMA SOREANG,SKH,7627,39022500,potensial
349,september,KPP PRATAMA CIMAHI,SKH,24553,173008003,potensial
350,september,ULTRAJAYA MILK INDUSTRY,SKH,609,21156000,potensial
351,september,BALAI DIKLAT KEUANGAN,EXP CORPORATE,43,1158000,tidak
352,september,SINAR CONTINENTAL,EXP CORPORATE,194,6783097,potensial
353,september,FAMILY ONLINE SHOP,EXP CORPORATE,327,10529301,tidak
354,september,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,460,570650000,potensial
355,september,PERIJINAN PEMKAB BANDUNG,SKH,43,452500,tidak
356,september,COD BUNDA JAYA,EXP CORPORATE,0,0,tidak
357,september,WOM FINANCE,SKH,86,484000,tidak
358,september,ADIRA DINAMIKA FINANCE,SKH,3,45000,tidak
359,september,BPKAD,SKH,0,0,tidak
